#SampleID	BarcodeSequence	LinkerPrimerSequence	MiSeq_FASTQ_files	elevation	environment_biome	SRA	BioSample	environment_material	environment_feature	Accession	Description
Run20130724_VG-11c_(2011)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc330	1014 ft	soil microbial community	SRS631753	SAMN02837983	soil	grassland	SAMN02837983	DESCRIPTION_PH2837983
Run20130311_VF-10_(2012)	BARCODE_PH	LINKER_PH	Run20130311_806rcbc420	1053 ft	soil microbial community	SRS631686	SAMN02838000	soil	forest	SAMN02838000	DESCRIPTION_PH2838000
Run20130404_VF-10-2_(2012)	BARCODE_PH	LINKER_PH	Run20130404_806rcbc760	1053 ft	soil microbial community	SRS631690	SAMN02838002	soil	forest	SAMN02838002	DESCRIPTION_PH2838002
Run20130722_VG-6_(2011)	BARCODE_PH	LINKER_PH	Run20130722_806rcbc630	1014 ft	soil microbial community	SRS631726	SAMN02837976	soil	grassland	SAMN02837976	DESCRIPTION_PH2837976
Run20130718_NF-2_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc760	1025 ft	soil microbial community	SRS631699	SAMN02837934	soil	forest	SAMN02837934	DESCRIPTION_PH2837934
Run20130724_VG-3_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc30	1014 ft	soil microbial community	SRS631737	SAMN02838008	soil	grassland	SAMN02838008	DESCRIPTION_PH2838008
Run20130311_VF-1_(2011)	BARCODE_PH	LINKER_PH	Run20130308_806rcbc829;Run20130311_806rcbc829	1053 ft	soil microbial community	SRS631666	SAMN02837957	soil	forest	SAMN02837957	DESCRIPTION_PH2837957
Run20130722_VF-12_(2011)	BARCODE_PH	LINKER_PH	Run20130722_806rcbc2096	1053 ft	soil microbial community	SRS631733	SAMN02837970	soil	forest	SAMN02837970	DESCRIPTION_PH2837970
Run20130724_VF-9_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc2096	1053 ft	soil microbial community	SRS631745	SAMN02837999	soil	forest	SAMN02837999	DESCRIPTION_PH2837999
Run20130724_VG-11b_(2011)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc288	1014 ft	soil microbial community	SRS631752	SAMN02837982	soil	grassland	SAMN02837982	DESCRIPTION_PH2837982
Run20130724_VG-8_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc1877	1014 ft	soil microbial community	SRS631743	SAMN02838013	soil	grassland	SAMN02838013	DESCRIPTION_PH2838013
Positive_control	BARCODE_PH	LINKER_PH	Run20130311_806rcbc422;Run20130404_806rcbc420;Run20130718_806rcbc420;Run20130722_806rcbc420;Run20130724_806rcbc420	not applicable	not applicable	SRS631688	SAMN02838021	not applicable	pure culture	SAMN02838021	DESCRIPTION_PH2838021
Run20130404_VF-10-3_(2012)	BARCODE_PH	LINKER_PH	Run20130404_806rcbc829	1053 ft	soil microbial community	SRS631691	SAMN02838003	soil	forest	SAMN02838003	DESCRIPTION_PH2838003
Run20130724_VF-11_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc4	1053 ft	soil microbial community	SRS631746	SAMN02838005	soil	forest	SAMN02838005	DESCRIPTION_PH2838005
Run20130722_VF-3_(2011)	BARCODE_PH	LINKER_PH	Run20130722_806rcbc829	1053 ft	soil microbial community	SRS631722	SAMN02837959	soil	forest	SAMN02837959	DESCRIPTION_PH2837959
Run20130722_VG-8_(2011)	BARCODE_PH	LINKER_PH	Run20130722_806rcbc1368	1014 ft	soil microbial community	SRS631729	SAMN02837978	soil	grassland	SAMN02837978	DESCRIPTION_PH2837978
Run20130724_VG-11_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc20	1014 ft	soil microbial community	SRS631748	SAMN02838020	soil	grassland	SAMN02838020	DESCRIPTION_PH2838020
Run20130724_VF-3_(2012)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc829	1053 ft	soil microbial community	SRS631736	SAMN02837993	soil	forest	SAMN02837993	DESCRIPTION_PH2837993
Run20130718_NF-9_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc1877	1025 ft	soil microbial community	SRS631709	SAMN02837941	soil	forest	SAMN02837941	DESCRIPTION_PH2837941
Run20130718_NG-2_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc422	1043 ft	soil microbial community	SRS631698	SAMN02837946	soil	grassland	SAMN02837946	DESCRIPTION_PH2837946
Run20130404_VF-10-4_(2012)	BARCODE_PH	LINKER_PH	Run20130404_806rcbc30	1053 ft	soil microbial community	SRS631692	SAMN02838004	soil	forest	SAMN02838004	DESCRIPTION_PH2838004
Run20130718_NF-5_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc160	1025 ft	soil microbial community	SRS631703	SAMN02837937	soil	forest	SAMN02837937	DESCRIPTION_PH2837937
Run20130311_VF-4_(2011)	BARCODE_PH	LINKER_PH	Run20130308_806rcbc360;Run20130311_806rcbc360	1053 ft	soil microbial community	SRS631670	SAMN02837960	soil	forest	SAMN02837960	DESCRIPTION_PH2837960
Run20130404_VG-10-4_(2012)	BARCODE_PH	LINKER_PH	Run20130404_806rcbc630	1014 ft	soil microbial community	SRS631696	SAMN02838019	soil	grassland	SAMN02838019	DESCRIPTION_PH2838019
Run20130724_VG-11a_(2011)	BARCODE_PH	LINKER_PH	Run20130724_806rcbc220	1014 ft	soil microbial community	SRS631750	SAMN02837981	soil	grassland	SAMN02837981	DESCRIPTION_PH2837981
Run20130718_NG-3_(2012)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc288	1043 ft	soil microbial community	SRS631717	SAMN02837990	soil	grassland	SAMN02837990	DESCRIPTION_PH2837990
Run20130311_VF-4_(2012)	BARCODE_PH	LINKER_PH	Run20130311_806rcbc186	1053 ft	soil microbial community	SRS631682	SAMN02837994	soil	forest	SAMN02837994	DESCRIPTION_PH2837994
Run20130718_NF-12_(2011)	BARCODE_PH	LINKER_PH	Run20130718_806rcbc20	1025 ft	soil microbial community	SRS631713	SAMN02837944	soil	forest	SAMN02837944	DESCRIPTION_PH2837944
