SN	VFG	gi	name	shortDesc	vfDesc	vfID	org	vfclass
1	VFG000681	6470208	capC__2	CapC, involved in Poly-gamma-glutamate synthesis	Capsule	VF0141	Bacillus anthracis	Antiphagocytosis
2	VFG000677	4894326	pagA	anthrax toxin moiety, protective antigen	Anthrax toxin	VF0142	Bacillus anthracis str. Sterne	Toxin
3	VFG000682	6470209	capB__1	CapB, involved in Poly-gamma-glutamate synthesis	Capsule	VF0141	Bacillus anthracis	Antiphagocytosis
4	VFG045350	16080160	bslA/yuaB	hydrophobin BslA	BslA	VF0411	Bacillus subtilis subsp. subtilis str. 168	Adherence
5	VFG000679	6470206	dep/capD	gamma-glutamyltranspeptidase, required for polyglutamate anchoring to peptidoglycan	Capsule	VF0141	Bacillus anthracis	Antiphagocytosis
6	VFG000676	4894323	lef	anthrax toxin lethal factor precursor	lethal toxin	VF0142	Bacillus anthracis str. Sterne	Toxin
7	VFG000680	6470207	capA__1	CapA, required for Poly-gamma-glutamate transport	Capsule	VF0141	Bacillus anthracis	Antiphagocytosis
8	VFG000678	4894338	cya	calmodulin sensitive adenylate cyclase, edema factor	Anthrax toxin	VF0142	Bacillus anthracis str. Sterne	Toxin
9	VFG002264	49476226	trwI2	Trw type IV secretion sysmtem trwI2 protein required for pilus elongation	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
10	VFG002261	49476223	trwI1	Trw type IV secretion sysmtem trwI1 protein required for pilus elongation	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
11	VFG002248	49476028	bepG	Bartonella effector protein BepG	VirB/VirD4 type IV secretion system & translocated effector Beps	VF0369	Bartonella henselae str. Houston-1	Secretion system
12	VFG002257	49476219	trwL8	Trw type IV secretion sysmtem pilin subunit VirB2 homolog, trwL8 protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
13	VFG002268	49476230	trwE	Trw type IV secretion sysmtem VirB10 homolog, trwE protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
14	VFG002272	49473811	badA/vomp/brp__4	Surface protein/Bartonella adhesin VompA	BadA/Vomp	VF0371	Bartonella quintana str. Toulouse	Adherence
15	VFG002273	49473812	badA/vomp/brp__4	Surface protein/Bartonella adhesin VompC	BadA/Vomp	VF0371	Bartonella quintana str. Toulouse	Adherence
16	VFG002237	49476016	virB8__6	type IV secretion system virB8 protein homolog	T4SS	VF0369	Bartonella henselae str. Houston-1	Secretion system
17	VFG002267	49476229	trwF	Trw type IV secretion sysmtem VirB9 homolog, trwF protein	Trw type IV secretion system	VF0372	Bartonella henselae str. Houston-1	Secretion system
18	VFG002270	49474965	badA	Surface protein/Bartonella adhesin BadA	BadA/Vomp	VF0371	Bartonella henselae str. Houston-1	Adherence
19	VFG016667	49474963	badA/vomp/brp__2	Surface protein/Bartonella adhesin BadA-like	BadA	SS156	Bartonella henselae str. Houston-1	Secretion system
20	VFG002271	49473810	badA/vomp/brp__4	Surface protein/Bartonella adhesin VompD	BadA/Vomp	VF0371	Bartonella quintana str. Toulouse	Adherence
